Distribution;Votes;Rank;Title
0000000125;1768997;9.2;The Shawshank Redemption (1994)
0000000125;1207904;9.2;The Godfather (1972)
0000000124;830031;9.0;The Godfather: Part II (1974)
0000000124;1751035;8.9;The Dark Knight (2008)
0000000133;475703;8.9;12 Angry Men (1957)
0000000133;906914;8.9;Schindler's List (1993)
0000000123;1385149;8.9;Pulp Fiction (1994)
0000000124;1270187;8.9;The Lord of the Rings: The Return of the King (2003)
0000000123;525937;8.8;Il buono, il brutto, il cattivo (1966)
0000000133;1414457;8.8;Fight Club (1999)
0000000123;1292088;8.8;The Lord of the Rings: The Fellowship of the Ring (2001)
0000000223;882902;8.7;Star Wars: Episode V - The Empire Strikes Back (1980)
0000000233;1321160;8.7;Forrest Gump (1994)
0000000133;1543010;8.7;Inception (2010)
0000000223;1150866;8.7;The Lord of the Rings: The Two Towers (2002)
0000000232;709571;8.7;One Flew Over the Cuckoo's Nest (1975)
0000000232;762982;8.7;Goodfellas (1990)
0000000233;1273424;8.7;The Matrix (1999)
0000000123;239248;8.6;Shichinin no samurai (1954)
0000001223;956718;8.6;Star Wars (1977)
0000000232;555800;8.6;Cidade de Deus (2002)
0000001232;1075522;8.6;Se7en (1995)
0000001232;935212;8.6;The Silence of the Lambs (1991)
0000001223;292211;8.6;It's a Wonderful Life (1946)
0000000232;775176;8.6;The Usual Suspects (1995)
0000000233;445843;8.6;La vita è bella (1997)
0000001232;762629;8.5;Léon (1994)
0000000223;444823;8.5;Sen to Chihiro no kamikakushi (2001)
0000001232;926536;8.5;Saving Private Ryan (1998)
0000001222;226567;8.5;C'era una volta il West (1968)
0000001232;817750;8.5;American History X (1998)
0000000123;1006878;8.5;Interstellar (2014)
0000001223;404135;8.5;Casablanca (1942)
0000001222;443538;8.5;Psycho (1960)
0000001223;114911;8.5;City Lights (1931)
0000001232;829112;8.5;The Green Mile (1999)
0000000232;539463;8.5;Intouchables (2011)
0000001222;690087;8.5;Raiders of the Lost Ark (1981)
0000001222;151853;8.5;Modern Times (1936)
0000001222;331213;8.5;Rear Window (1954)
0000001232;526733;8.5;The Pianist (2002)
0000001232;915469;8.5;The Departed (2006)
0000001222;776728;8.5;Terminator 2: Judgment Day (1991)
0000001222;771421;8.5;Back to the Future (1985)
0000001232;451194;8.5;Whiplash (2014)
0000001222;1028971;8.5;Gladiator (2000)
0000001232;883612;8.5;Memento (2000)
0000001222;469276;8.5;Apocalypse Now (1979)
0000001232;888664;8.5;The Prestige (2006)
0000001223;680955;8.5;The Lion King (1994)
0000001223;151018;8.5;La La Land (2016/I)
0000001222;591993;8.4;Alien (1979)
0000001223;356846;8.4;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
0000001222;146003;8.4;Sunset Blvd. (1950)
0000001222;145546;8.4;The Great Dictator (1940)
0000001222;161157;8.4;Nuovo Cinema Paradiso (1988)
0000001232;271854;8.4;Das Leben der Anderen (2006)
0000001223;148569;8.4;Hotaru no haka (1988)
0000001222;127205;8.4;Paths of Glory (1957)
0000001232;1010125;8.4;Django Unchained (2012)
0000001222;642841;8.4;The Shining (1980)
0000001222;757053;8.4;WALL·E (2008)
0000001222;858179;8.4;American Beauty (1999)
0000001223;1195767;8.4;The Dark Knight Rises (2012)
0000001222;235536;8.4;Mononoke-hime (1997)
0000001222;508966;8.4;Aliens (1986)
0000001222;375724;8.4;Oldeuboi (2003)
0000001222;231790;8.4;Once Upon a Time in America (1984)
0000001223;310172;8.3;Citizen Kane (1941)
0000001222;175441;8.3;Das Boot (1981)
0000001222;67665;8.3;Witness for the Prosecution (1957)
0000001222;229020;8.3;North by Northwest (1959)
0000001222;262061;8.3;Vertigo (1958)
0000001222;721841;8.3;Star Wars: Episode VI - Return of the Jedi (1983)
0000001221;697412;8.3;Reservoir Dogs (1992)
0000001222;103584;8.3;M (1931)
0000001222;769531;8.3;Braveheart (1995)
0000001222;559002;8.3;Le fabuleux destin d'Amélie Poulain (2001)
0000001222;599703;8.3;Requiem for a Dream (2000)
0000001222;585072;8.3;A Clockwork Orange (1971)
0000001222;533249;8.3;Taxi Driver (1976)
0000001222;201729;8.3;Lawrence of Arabia (1962)
0000000123;96028;8.3;Taare Zameen Par (2007)
0000001222;102575;8.3;Double Indemnity (1944)
0000001222;699735;8.3;Eternal Sunshine of the Spotless Mind (2004)
0000001222;225780;8.3;To Kill a Mockingbird (1962)
0000001222;572154;8.3;Toy Story 3 (2010)
0000001222;283616;8.3;Amadeus (1984)
0000000124;42144;8.3;Babam ve Oglum (2005)
0000001321;509155;8.3;Full Metal Jacket (1987)
0000001322;183733;8.3;The Sting (1973)
0000001123;448913;8.3;2001: A Space Odyssey (1968)
0000000125;34436;8.3;Dangal (2016)
0000001222;159131;8.3;Singin' in the Rain (1952)
0000001322;656547;8.3;Toy Story (1995)
0000001222;99901;8.3;Ladri di biciclette (1948)
0000001222;933458;8.3;Inglourious Basterds (2009)
0000001222;72663;8.3;The Kid (1921)
0000001222;626168;8.3;Snatch (2000)
0000001222;397604;8.3;Monty Python and the Holy Grail (1975)
0000000123;228501;8.3;3 Idiots (2009)
0000001321;430363;8.3;L.A. Confidential (1997)
0000001321;166159;8.3;Per qualche dollaro in più (1965)
0000001222;562596;8.3;Scarface (1983)
0000001331;184712;8.2;Jagten (2012)
0000001222;107929;8.2;Rashômon (1950)
0000001222;114955;8.2;The Apartment (1960)
0000001321;638075;8.2;Good Will Hunting (1997)
0000001321;539481;8.2;Indiana Jones and the Last Crusade (1989)
0000001223;160219;8.2;Jodaeiye Nader az Simin (2011)
0000001222;117388;8.2;Metropolis (1927)
0000001222;86626;8.2;All About Eve (1950)
0000001222;77563;8.2;Yôjinbô (1961)
0000001321;1025606;8.2;Batman Begins (2005)
0000001222;702863;8.2;Up (2009)
0000001222;183032;8.2;Some Like It Hot (1959)
0000001222;82730;8.2;The Treasure of the Sierra Madre (1948)
0000001321;289798;8.2;Unforgiven (1992)
0000001222;88437;8.2;Hacksaw Ridge (2016)
0000001321;259276;8.2;Der Untergang (2004)
0000001222;244984;8.2;Raging Bull (1980)
0000001222;118684;8.2;The Third Man (1949)
0000001321;618170;8.2;Die Hard (1988)
0000001223;32403;8.2;Bacheha-Ye aseman (1997)
0000001222;448762;8.2;Heat (1995)
0000001321;173288;8.2;The Great Escape (1963)
0000001222;226116;8.2;Chinatown (1974)
0000001222;394007;8.2;Inside Out (2015/I)
0000001222;488229;8.2;El laberinto del fauno (2006)
0000001222;44747;8.2;Ikiru (1952)
0000001222;184973;8.2;Tonari no Totoro (1988)
0000001222;105661;8.2;On the Waterfront (1954)
0000001222;81318;8.2;Ran (1985)
